0	0	0	1.000000
0	0	1	1.000000
0	0	2	1.000000
0	0	4	1.000000
0	1	0	1.000000
0	1	1	1.000000
0	1	2	1.000000
0	1	4	1.000000
0	2	0	1.000000
0	2	1	1.000000
0	2	2	1.000000
0	2	4	1.000000
0	4	0	1.000000
0	4	1	1.000000
0	4	2	1.000000
0	4	4	1.000000
1	0	0	0.995874
1	0	1	0.302326
1	0	2	0.302326
1	0	4	0.302326
1	1	0	0.995874
1	1	1	0.200675
1	1	2	0.168417
1	1	4	0.168417
1	2	0	0.995874
1	2	1	0.322581
1	2	2	0.264816
1	2	4	0.280570
1	4	0	0.995874
1	4	1	0.509377
1	4	2	0.488372
1	4	4	0.524006
2	0	0	0.995874
2	0	1	0.357839
2	0	2	0.302326
2	0	4	0.302326
2	1	0	0.995874
2	1	1	0.184546
2	1	2	0.120780
2	1	4	0.112153
2	2	0	0.995874
2	2	1	0.268567
2	2	2	0.200675
2	2	4	0.168417
2	4	0	0.995874
2	4	1	0.463241
2	4	2	0.322581
2	4	4	0.264816
4	0	0	0.995874
4	0	1	0.440360
4	0	2	0.357839
4	0	4	0.302326
4	1	0	0.995874
4	1	1	0.271943
4	1	2	0.176669
4	1	4	0.133908
4	2	0	0.995874
4	2	1	0.339460
4	2	2	0.184546
4	2	4	0.120780
4	4	0	0.995874
4	4	1	0.529632
4	4	2	0.268567
4	4	4	0.200675
